Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T002_001,SE_T002_002,SE_T002_006
Census Tract 1000,"Census Tract 1000, Harris County, Texas",48201100000,140,0,48,201,22,,100000,4690,3186.86,1.471668209
Census Tract 2101,"Census Tract 2101, Harris County, Texas",48201210100,140,0,48,201,22,,210100,9652,37943.47,0.254378399
Census Tract 2104,"Census Tract 2104, Harris County, Texas",48201210400,140,0,48,201,22,,210400,5328,7605.897,0.700509037
Census Tract 2105,"Census Tract 2105, Harris County, Texas",48201210500,140,0,48,201,22,,210500,4882,5875.718,0.830877209
Census Tract 2106,"Census Tract 2106, Harris County, Texas",48201210600,140,0,48,201,22,,210600,5497,6100.32,0.901100314
Census Tract 2107,"Census Tract 2107, Harris County, Texas",48201210700,140,0,48,201,22,,210700,2485,5700.257,0.435945263
Census Tract 2108,"Census Tract 2108, Harris County, Texas",48201210800,140,0,48,201,22,,210800,2753,1953.058,1.409584523
Census Tract 2109,"Census Tract 2109, Harris County, Texas",48201210900,140,0,48,201,22,,210900,1620,3321.018,0.48780226
Census Tract 2110,"Census Tract 2110, Harris County, Texas",48201211000,140,0,48,201,22,,211000,2039,4703.587,0.43349892
Census Tract 2111,"Census Tract 2111, Harris County, Texas",48201211100,140,0,48,201,22,,211100,6004,6513.807,0.921734386
Census Tract 2112,"Census Tract 2112, Harris County, Texas",48201211200,140,0,48,201,22,,211200,2831,4303.187,0.657884515
Census Tract 2113,"Census Tract 2113, Harris County, Texas",48201211300,140,0,48,201,22,,211300,5046,4762.284,1.059575566
Census Tract 2114,"Census Tract 2114, Harris County, Texas",48201211400,140,0,48,201,22,,211400,3690,2637.844,1.398869416
Census Tract 2115,"Census Tract 2115, Harris County, Texas",48201211500,140,0,48,201,22,,211500,6907,2958.945,2.334277997
Census Tract 2116,"Census Tract 2116, Harris County, Texas",48201211600,140,0,48,201,22,,211600,2811,6251.98,0.449617527
Census Tract 2117,"Census Tract 2117, Harris County, Texas",48201211700,140,0,48,201,22,,211700,3886,2265.573,1.715239221
Census Tract 2119,"Census Tract 2119, Harris County, Texas",48201211900,140,0,48,201,22,,211900,5225,10847.64,0.48167173
Census Tract 2123,"Census Tract 2123, Harris County, Texas",48201212300,140,0,48,201,22,,212300,5381,4313.394,1.247509641
Census Tract 2124,"Census Tract 2124, Harris County, Texas",48201212400,140,0,48,201,22,,212400,3216,1025.229,3.136859707
